user_id|product_id|date
6|5|2016-12-13
8|7|2016-12-13
2|10|2016-12-13
1|10|2016-12-13
7|8|2016-12-13
7|1|2016-12-13
1|7|2016-12-13
3|3|2016-12-13
6|3|2016-12-13
9|7|2016-12-13
4|4|2016-12-13
7|7|2016-12-13
7|10|2016-12-13
2|3|2016-12-13
8|10|2016-12-13
5|8|2016-12-13
7|1|2016-12-13
6|1|2016-12-13
5|4|2016-12-13
7|5|2016-12-13
2|9|2016-12-13
3|5|2016-12-13
2|2|2016-12-13
2|9|2016-12-13
7|2|2016-12-13
4|9|2016-12-13
1|5|2016-12-13
6|7|2016-12-13
5|8|2016-12-13
6|6|2016-12-13
1|2|2016-12-13
8|4|2016-12-13
2|6|2016-12-13
3|10|2016-12-13
5|8|2016-12-13
3|5|2016-12-13
4|3|2016-12-13
9|10|2016-12-13
9|5|2016-12-13
3|6|2016-12-13
7|2|2016-12-13
3|10|2016-12-13
7|1|2016-12-13
6|8|2016-12-13
1|4|2016-12-13
2|2|2016-12-13
1|2|2016-12-13
3|9|2016-12-13
3|6|2016-12-13
6|9|2016-12-13
1|8|2016-12-13
8|10|2016-12-13
7|10|2016-12-13
6|3|2016-12-13
9|4|2016-12-13
4|9|2016-12-13
9|3|2016-12-13
1|4|2016-12-13
3|3|2016-12-13
2|9|2016-12-13
7|8|2016-12-13
1|7|2016-12-13
9|1|2016-12-13
2|9|2016-12-13
2|3|2016-12-13
6|6|2016-12-13
5|2|2016-12-13
9|8|2016-12-13
4|1|2016-12-13
7|2|2016-12-13
4|3|2016-12-13
7|2|2016-12-13
7|2|2016-12-13
4|6|2016-12-13
7|3|2016-12-13
4|5|2016-12-13
3|2|2016-12-13
7|7|2016-12-13
2|8|2016-12-13
5|9|2016-12-13
9|7|2016-12-13
1|6|2016-12-13
10|1|2016-12-13
4|3|2016-12-13
1|9|2016-12-13
1|4|2016-12-13
6|1|2016-12-13
3|8|2016-12-13
5|5|2016-12-13
9|8|2016-12-13
1|7|2016-12-13
10|1|2016-12-13
8|7|2016-12-13
8|6|2016-12-13
8|8|2016-12-13
3|6|2016-12-13
7|4|2016-12-13
3|3|2016-12-13
5|9|2016-12-13
5|5|2016-12-13
15|3|2016-12-13
16|1|2016-12-13
13|7|2016-12-13
19|10|2016-12-13
19|6|2016-12-13
12|1|2016-12-13
13|7|2016-12-13
20|6|2016-12-13
15|4|2016-12-13
15|3|2016-12-13
18|5|2016-12-13
19|1|2016-12-13
13|1|2016-12-13
11|3|2016-12-13
14|8|2016-12-13
14|9|2016-12-13
18|1|2016-12-13
12|3|2016-12-13
16|6|2016-12-13
13|5|2016-12-13
14|9|2016-12-13
11|10|2016-12-13
12|10|2016-12-13
15|3|2016-12-13
15|2|2016-12-13
18|4|2016-12-13
14|5|2016-12-13
19|10|2016-12-13
11|1|2016-12-13
18|5|2016-12-13
20|6|2016-12-13
11|7|2016-12-13
20|8|2016-12-13
13|4|2016-12-13
11|8|2016-12-13
13|9|2016-12-13
14|6|2016-12-13
15|4|2016-12-13
18|9|2016-12-13
13|4|2016-12-13
15|1|2016-12-13
14|2|2016-12-13
14|5|2016-12-13
16|3|2016-12-13
19|2|2016-12-13
15|1|2016-12-13
19|5|2016-12-13
15|8|2016-12-13
20|4|2016-12-13
11|2|2016-12-13
18|10|2016-12-13
15|3|2016-12-13
14|8|2016-12-13
16|1|2016-12-13
18|1|2016-12-13
20|6|2016-12-13
15|10|2016-12-13
20|8|2016-12-13
16|1|2016-12-13
20|5|2016-12-13
16|1|2016-12-13
18|7|2016-12-13
12|6|2016-12-13
17|1|2016-12-13
14|7|2016-12-13
14|6|2016-12-13
20|6|2016-12-13
20|9|2016-12-13
16|6|2016-12-13
13|10|2016-12-13
14|6|2016-12-13
19|8|2016-12-13
11|2|2016-12-13
17|4|2016-12-13
17|6|2016-12-13
18|7|2016-12-13
19|1|2016-12-13
11|10|2016-12-13
14|3|2016-12-13
14|1|2016-12-13
13|1|2016-12-13
14|5|2016-12-13
19|9|2016-12-13
13|9|2016-12-13
13|7|2016-12-13
19|1|2016-12-13
16|2|2016-12-13
18|10|2016-12-13
19|3|2016-12-13
19|9|2016-12-13
11|1|2016-12-13
17|10|2016-12-13
20|2|2016-12-13
18|6|2016-12-13
17|8|2016-12-13
13|4|2016-12-13
16|5|2016-12-13
13|1|2016-12-13
13|8|2016-12-13
14|5|2016-12-13
